video_id,machine_start_time,first_flow_time,flow_end_time,machine,grinder,dose_g,yield_g,grind_setting,roast_level,taste,audio_quality
shot_001,14,19,46,Gaggia Classic pro,,,,,,,
shot_002,4,9,26,rancilio silvia,,,,,,,
shot_003,1,6,19,rancilio silvia,,,,,,,
shot_004,8,14,37,breville express,,,,,,,
shot_005,2,12,30,breville express,,,,,,,
shot_006,4,12,27,breville express,,,,,,,talking
shot_007,7,10,39,la marzocco linea micra,,,,,,,
shot_008,4,11,27,letit anna 2,,,,,,,talking
shot_009,7.6,16,49,letit anna 2,,,,,,,
shot_010,2,13,34,mini vivaldi 2,,,,,,,
shot_011,6.7,9,35,letit anna 2,,,,,,,
shot_012,4,7,21,letit ,,,,,,,
shot_013,4,11,27,la marzocco linea micra,,,,,,,
shot_014,6,17,46,mini vivaldi 2,,,,,,,
